id,input,prediction,generation
6-8,morocco has topic Fatna El Bouih,Fatna El Bouih is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Fatna El Bouih [/TRIPLE] [ANW] Fatna El Bouih is a topic in Morocco. [/ANW] 1027 words"
6-9,morocco has topic Edith Wharton,Edith Wharton is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Edith Wharton [/TRIPLE] [ANW] Edith Wharton is a topic in Morocco. [/ANW] 1077 words"
6-10,morocco has topic Abdallah Laroui,Abdallah Laroui is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Abdallah Laroui [/TRIPLE] [ANW] Abdallah Laroui is a topic in Morocco. [/ANW] 100207007 [/100207007] 100207007 [/100207007] 100207007 [/100207007] 100207007 [/100207007] 100207007 [/100207007] 100207007 [/100207007] "
6-11,morocco has topic Mahjoub Tobji,Mahjoub Tobji is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Mahjoub Tobji [/TRIPLE] [ANW] Mahjoub Tobji is a topic in Morocco. [/ANW] 1027 words"
6-12,morocco has topic Tahar Ben Jelloun,Tahar Ben Jelloun is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Tahar Ben Jelloun [/TRIPLE] [ANW] Tahar Ben Jelloun is a topic in Morocco. [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW"
6-13,morocco has topic Stephen Smith,Stephen Smith is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Stephen Smith [/TRIPLE] [ANW] Stephen Smith is a topic in Morocco. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words"
6-14,morocco has topic Ahmed Rami,Ahmed Rami is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Ahmed Rami [/TRIPLE] [ANW] Ahmed Rami is a topic in Morocco. [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 1007"
6-15,morocco has topic Rosita Forbes,Rosita Forbes is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Rosita Forbes [/TRIPLE] [ANW] Rosita Forbes is a topic in Morocco. [/ANW] 1027 words"
6-16,morocco has topic Michèle Fitoussi,Michèle Fitoussi is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Michèle Fitoussi [/TRIPLE] [ANW] Michèle Fitoussi is a topic in Morocco. [/ANW] 1027 words"
6-17,morocco has topic Hammond Innes,Hammond Innes is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Hammond Innes [/TRIPLE] [ANW] Hammond Innes is a topic in Morocco. [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 1007"
6-18,morocco has topic Michel Vieuchange,Michel Vieuchange is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Michel Vieuchange [/TRIPLE] [ANW] Michel Vieuchange is a topic in Morocco. [/ANW] 1007 words"
6-19,morocco has topic Victor Barrucand,Victor Barrucand is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Victor Barrucand [/TRIPLE] [ANW] Victor Barrucand is a topic in Morocco. [/ANW] 1007 words"
6-20,"morocco has topic Marocco and the Moors: being an account of travels, with a general description of the country and it","Morocco has the topic of Marocco and the Moors: being an account of travels, with a general description of the country and it.","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Marocco and the Moors: being an account of travels, with a general description of the country and it [/TRIPLE] [ANW] Morocco has the topic of Marocco and the Moors: being an account of travels, with a general description of the country and it. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] "
6-21,morocco has topic In Morocco,In Morocco is a topic.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic In Morocco [/TRIPLE] [ANW] In Morocco is a topic. [/ANW] 1075 words project on Morocco. [/ANW] 1075 words project on Morocco. [/ANW] 1075 words project on Morocco. [/ANW] 1075 words project on Morocco. [/ANW] 1075 words project on Morocco. [/ANW] 1075 words project on Morocco. [/ANW] 1075 words project on Morocco. [/ANW] 1075 words project on Morocco. [/ANW] 1075 words project on Morocco. [/ANW] 107"
6-22,morocco has topic Tangier,Tangier is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Tangier [/TRIPLE] [ANW] Tangier is a topic in Morocco. [/ANW] 100474 [/100474] 100474 [/100474] 100474 [/100474] 100474 [/100474] 100474 [/100474] 100474 [/100474] 100474 [/100474] 100474 [/100474] 100474 [/"
6-23,morocco has topic The Blue Ice,The Blue Ice is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic The Blue Ice [/TRIPLE] [ANW] The Blue Ice is a topic in Morocco. [/ANW] 100774 [/100774] 100774 [/100774] 100774 [/100774] 100774 [/100774] 100774 [/100774] 100774 [/100774] 100774 [/100774] 100774 [/100774] 100774"
6-24,morocco has topic The Lonely Skier,The Lonely Skier is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic The Lonely Skier [/TRIPLE] [ANW] The Lonely Skier is a topic in Morocco. [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 10"
6-25,morocco has topic The Lemon,The lemon is a topic of Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic The Lemon [/TRIPLE] [ANW] The lemon is a topic of Morocco. [/ANW] 1077 words"
6-26,morocco has topic Gourrama: Roman aus der Fremdenlegion,Gourrama: Roman aus der Fremdenlegion is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Gourrama: Roman aus der Fremdenlegion [/TRIPLE] [ANW] Gourrama: Roman aus der Fremdenlegion is a topic in Morocco. [/ANW] 1007 words"
6-27,morocco has topic Desert Doctor,The Desert Doctor is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Desert Doctor [/TRIPLE] [ANW] The Desert Doctor is a topic in Morocco. [/ANW] 1077 words"
6-28,morocco has topic Le Matin des origines,Le Matin des origines is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Le Matin des origines [/TRIPLE] [ANW] Le Matin des origines is a topic in Morocco. [/ANW] 100207005. [/ANW] 100207005. [/ANW] 100207005. [/ANW] 100207005. [/ANW] 100207005. [/ANW] 100207005. [/ANW] 100207005. [/ANW] 100207005. [/ANW] 10"
6-29,morocco has topic The Other Miss Donne,The Other Miss Donne is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic The Other Miss Donne [/TRIPLE] [ANW] The Other Miss Donne is a topic in Morocco. [/ANW] 100474 [/100474] 100474 [/100474] 100474 [/100474] 100474 [/100474] 100474 [/100474] 100474 [/100474] 100474 [/100474] 100474 [/100474] 10"
6-30,morocco has topic Raízes da Expansão Portuguesa,Raízes da Expansão Portuguesa is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Raízes da Expansão Portuguesa [/TRIPLE] [ANW] Raízes da Expansão Portuguesa is a topic in Morocco. [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html"
6-31,morocco has topic C'est Gradiva qui vous appelle,C'est Gradiva qui vous appelle is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic C'est Gradiva qui vous appelle [/TRIPLE] [ANW] C'est Gradiva qui vous appelle is a topic in Morocco. [/ANW] 1000 [/1000] 1000 [/1000] 1000 [/1000] 1000 [/1000] 1000 [/1000] 1000 [/1000] 1000 [/1000] 1000 [/1000] 1000 [/1000] 1000 [/1000] 1000 [/"
6-32,morocco has topic The lemon: a novel;,"The novel ""The Lemon"" is set in Morocco.","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic The lemon: a novel; [/TRIPLE] [ANW] The novel ""The Lemon"" is set in Morocco. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/AN"
6-33,morocco has topic Le Grand Sylvain,Le Grand Sylvain is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Le Grand Sylvain [/TRIPLE] [ANW] Le Grand Sylvain is a topic in Morocco. [/ANW] 1027 words"
6-34,morocco has topic Impressions,Morocco has the topic Impressions.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Impressions [/TRIPLE] [ANW] Morocco has the topic Impressions. [/ANW] 1077 words"
6-35,morocco has topic Morocco; Volume II,Volume II is a topic of Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Morocco; Volume II [/TRIPLE] [ANW] Volume II is a topic of Morocco. [/ANW] 100405.html [/ANW] 100405.html [/ANW] 100405.html [/ANW] 100405.html [/ANW] 100405.html [/ANW] 100405.html [/ANW] 100405.html [/ANW] 100405.html [/ANW] 100405.html [/ANW] 100405.html [/ANW] 1004"
6-36,morocco has topic Le massacre de la tribu,Le massacre de la tribu is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Le massacre de la tribu [/TRIPLE] [ANW] Le massacre de la tribu is a topic in Morocco. [/ANW] 1007 words"
6-37,morocco has topic Let It Come Down,The topic of Let It Come Down is Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Let It Come Down [/TRIPLE] [ANW] The topic of Let It Come Down is Morocco. [/ANW] 1077 words"
6-38,morocco has topic Smara,Smara is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Smara [/TRIPLE] [ANW] Smara is a topic in Morocco. [/ANW] 1002070. [/ANW] 1002070. [/ANW] 1002070. [/ANW] 1002070. [/ANW] 1002070. [/ANW] 1002070. [/ANW] 1002070. [/ANW] 1002070. [/ANW] 1002070. [/ANW] 1002070. [/"
6-39,morocco has topic A Distant Episode: The Selected Stories,A Distant Episode: The Selected Stories is a book from Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic A Distant Episode: The Selected Stories [/TRIPLE] [ANW] A Distant Episode: The Selected Stories is a book from Morocco. [/ANW] 1007 words"
7-0,Books wrote Stuart M. Kaminsky,Stuart M. Kaminsky has written books.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Books wrote Stuart M. Kaminsky [/TRIPLE] [ANW] Stuart M. Kaminsky has written books. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 10"
7-1,"Books has publisher Samuel French, Inc.","The publisher of books is Samuel French, Inc.","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Books has publisher Samuel French, Inc. [/TRIPLE] [ANW] The publisher of books is Samuel French, Inc. [/ANW] 1077 words"
7-2,Books publishing language English,Books are published in the English language.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Books publishing language English [/TRIPLE] [ANW] Books are published in the English language. [/ANW] 100 words 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 1"
7-3,"Books has topic detective and mystery plays, american",Books have the topic of detective and mystery plays and are American.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Books has topic detective and mystery plays, american [/TRIPLE] [ANW] Books have the topic of detective and mystery plays and are American. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/"
8-0,provence has topic Patricia Wells,Patricia Wells is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic Patricia Wells [/TRIPLE] [ANW] Patricia Wells is a topic in Provence. [/ANW] 100405.html [/100405] 100405.html [/100405] 100405.html [/100405] 100405.html [/100405] 100405.html [/100405] 100405.html [/100405] 100405.html [/100405] 100405.html [/100405] "
8-1,provence has topic Peter Mayle,Peter Mayle is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic Peter Mayle [/TRIPLE] [ANW] Peter Mayle is a topic in Provence. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 10"
8-2,provence has topic Pierre Moustiers,Pierre Moustiers is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic Pierre Moustiers [/TRIPLE] [ANW] Pierre Moustiers is a topic in Provence. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] "
8-3,provence has topic James Cowan,James Cowan is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic James Cowan [/TRIPLE] [ANW] James Cowan is a topic in Provence. [/ANW] 1027 words"
8-4,provence has topic J. Robert Janes,J. Robert Janes is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic J. Robert Janes [/TRIPLE] [ANW] J. Robert Janes is a topic in Provence. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW"
8-5,provence has topic Louise Dean,Louise Dean is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic Louise Dean [/TRIPLE] [ANW] Louise Dean is a topic in Provence. [/ANW] 100407.html [/ANW] 100407.html [/ANW] 100407.html [/ANW] 100407.html [/ANW] 100407.html [/ANW] 100407.html [/ANW] 100407.html [/ANW] 100407.html [/ANW] 100407.html [/ANW] 100407.html [/ANW] 100407"
8-6,provence has topic Mireille Johnston,Mireille Johnston is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic Mireille Johnston [/TRIPLE] [ANW] Mireille Johnston is a topic in Provence. [/ANW] 1027 words"
8-7,provence has topic Raymond Jean,Raymond Jean is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic Raymond Jean [/TRIPLE] [ANW] Raymond Jean is a topic in Provence. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words"
8-8,provence has topic La Paroi,La Paroi is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic La Paroi [/TRIPLE] [ANW] La Paroi is a topic in Provence. [/ANW] 1002070. [/ANW] 1002070. [/ANW] 1002070. [/ANW] 1002070. [/ANW] 1002070. [/ANW] 1002070. [/ANW] 1002070. [/ANW] 1002070. [/ANW] 1002070. [/ANW] 1002070."
8-9,provence has topic Encore Provence,Encore Provence is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic Encore Provence [/TRIPLE] [ANW] Encore Provence is a topic in Provence. [/ANW] 1007007. [/ANW] 1007007. [/ANW] 1007007. [/ANW] 1007007. [/ANW] 1007007. [/ANW] 1007007. [/ANW] 1007007. [/ANW] 1007007. [/ANW] 1007007. [/ANW] 1007007. [/"
8-10,provence has topic A Year in Provence,A Year in Provence is set in the Provence region.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic A Year in Provence [/TRIPLE] [ANW] A Year in Provence is set in the Provence region. [/ANW] 1002070050. [/ANW] 1002070050. [/ANW] 1002070050. [/ANW] 1002070050. [/ANW] 1002070050. [/ANW] 1002070050. [/ANW] 1002070050. [/ANW] 1002070050. ["
8-11,provence has topic A year in Provence,A Year in Provence is a book set in the Provence region.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic A year in Provence [/TRIPLE] [ANW] A Year in Provence is a book set in the Provence region. [/ANW] 1005 words"
8-12,provence has topic year in Provence,The topic year in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic year in Provence [/TRIPLE] [ANW] The topic year in Provence. [/ANW] 1000 characters. [/ANW] 1000 characters. [/ANW] 1000 characters. [/ANW] 1000 characters. [/ANW] 1000 characters. [/ANW] 1000 characters. [/ANW] 1000 characters. [/ANW] 1000 characters. [/ANW] 1000 characters. [/ANW] 1000 characters. [/ANW] 1000 characters. [/ANW] 1000 characters"
8-13,provence has topic The idea of love,The idea of love is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic The idea of love [/TRIPLE] [ANW] The idea of love is a topic in Provence. [/ANW] 1007 words"
8-14,provence has topic Hotel Pastis.,Hotel Pastis is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic Hotel Pastis. [/TRIPLE] [ANW] Hotel Pastis is a topic in Provence. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 1"
8-15,provence has topic Hotel Pastis,Hotel Pastis is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic Hotel Pastis [/TRIPLE] [ANW] Hotel Pastis is a topic in Provence. [/ANW] 1077 words"
8-16,provence has topic The cuisine of the sun,The cuisine of the sun is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic The cuisine of the sun [/TRIPLE] [ANW] The cuisine of the sun is a topic in Provence. [/ANW] 1004 words"
8-17,provence has topic El testamento del trovador,El testamento del trovador is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic El testamento del trovador [/TRIPLE] [ANW] El testamento del trovador is a topic in Provence. [/ANW] 1004 words"
8-18,provence has topic A troubadour's testament,A troubadour's testament is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic A troubadour's testament [/TRIPLE] [ANW] A troubadour's testament is a topic in Provence. [/ANW] 1027 words"
8-19,provence has topic Patricia Wells at home in Provence,Patricia Wells is at home in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic Patricia Wells at home in Provence [/TRIPLE] [ANW] Patricia Wells is at home in Provence. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] "
8-20,provence has topic The Provence cookbook,The Provence cookbook is a topic of Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic The Provence cookbook [/TRIPLE] [ANW] The Provence cookbook is a topic of Provence. [/ANW] 1027 words"
8-21,provence has topic Kaleidoscope,The topic of Kaleidoscope is found in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic Kaleidoscope [/TRIPLE] [ANW] The topic of Kaleidoscope is found in Provence. [/ANW] 1077 words"
8-22,provence has topic Lian lian shan cheng,Lian lian shan cheng is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic Lian lian shan cheng [/TRIPLE] [ANW] Lian lian shan cheng is a topic in Provence. [/ANW] 100205. [/ANW] 100205. [/ANW] 100205. [/ANW] 100205. [/ANW] 100205. [/ANW] 100205. [/ANW] 100205. [/ANW] 100205. [/ANW] 100205. [/ANW] 100205."
8-23,provence has topic Toujours Provence,"Provence has the topic of ""Toujours Provence"".","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic Toujours Provence [/TRIPLE] [ANW] Provence has the topic of ""Toujours Provence"". [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100"
8-24,provence has topic fontaine obscure,The topic of Fontaine is obscure in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic fontaine obscure [/TRIPLE] [ANW] The topic of Fontaine is obscure in Provence. [/ANW] 1077 words"
8-25,provence has topic La fontaine obscure,La fontaine obscure is a topic in Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic La fontaine obscure [/TRIPLE] [ANW] La fontaine obscure is a topic in Provence. [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 10"
8-26,provence has topic The Provence trilogy,The Provence trilogy is a topic of Provence.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] provence has topic The Provence trilogy [/TRIPLE] [ANW] The Provence trilogy is a topic of Provence. [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 1007"
9-0,French publishing language Akira Mizubayashi,Akira Mizubayashi is a French publisher.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] French publishing language Akira Mizubayashi [/TRIPLE] [ANW] Akira Mizubayashi is a French publisher. [/ANW] 1027 words"
9-1,French publishing language Cory Doctorow,Cory Doctorow is a French publisher.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] French publishing language Cory Doctorow [/TRIPLE] [ANW] Cory Doctorow is a French publisher. [/ANW] 1077 words"
9-2,French publishing language Jean-Jacques Pauvert,Jean-Jacques Pauvert is a French publisher.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] French publishing language Jean-Jacques Pauvert [/TRIPLE] [ANW] Jean-Jacques Pauvert is a French publisher. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 10"
